actual_claims,predicted_claims,actual_payout,predicted_payout
696.0,174.61879,240941.78,39469.8
696.0,191.57483,122315.59,44675.16
278.0,185.68942,11052.33,43028.098
696.0,224.3861,68076.42,36106.957
529.0,201.94669,26357.87,26863.305
696.0,200.28532,27935.7,29859.186
529.0,215.40004,10527.92,32490.709
696.0,200.56335,122315.59,43575.16
278.0,211.66324,11052.33,43648.516
696.0,217.37549,68076.42,42006.055
529.0,243.42986,26357.87,33503.008
696.0,216.11264,27935.7,25118.54
529.0,217.63377,10527.92,26460.512
696.0,228.76747,8658.87,25380.914
278.0,228.12575,11052.33,43431.65
696.0,230.27913,68076.42,35145.117
529.0,240.10924,26357.87,32212.467
696.0,249.21315,27935.7,25285.205
529.0,215.96521,10527.92,17239.941
696.0,226.09795,8658.87,19120.27
696.0,229.8555,6571.6,13864.883
696.0,256.46432,68076.42,42795.523
529.0,252.9465,26357.87,27897.613
696.0,259.44745,27935.7,27953.904
529.0,260.59918,10527.92,20158.908
696.0,231.15617,8658.87,11488.384
696.0,245.63933,6571.6,17010.098
696.0,241.69273,1289.3400000000001,8518.995
529.0,263.90836,26357.87,41024.047
696.0,255.41626,27935.7,21979.07
529.0,260.50967,10527.92,21612.963
696.0,259.56296,8658.87,16185.221
696.0,232.1484,6571.6,9055.428
696.0,245.25558,1289.3400000000001,14874.347
0.0,235.9518,0.0,7280.1997
696.0,257.892,27935.7,35273.574
529.0,243.28244,10527.92,14342.156
696.0,246.92607,8658.87,12595.95
696.0,244.09207,6571.6,11109.573
696.0,213.52783,1289.3400000000001,7122.175
0.0,225.98364,0.0,13176.992
278.0,214.75436,217.25,5616.3325
529.0,267.08606,10527.92,31193.594
696.0,247.24738,8658.87,8952.053
696.0,249.92476,6571.6,7019.0176
696.0,246.39847,1289.3400000000001,8253.975
0.0,212.0721,0.0,4622.2104
278.0,224.03848,217.25,11656.251
0.0,211.23648,0.0,3572.9514
696.0,267.06598,8658.87,24556.064
696.0,242.81754,6571.6,3597.9722
696.0,242.37717,1289.3400000000001,3944.274
0.0,240.00954,0.0,6578.5894
278.0,207.67346,217.25,2509.352
0.0,217.4486,0.0,12335.983
0.0,200.14395,0.0,2247.7686
696.0,258.84778,6571.6,17492.719
696.0,230.23763,1289.3400000000001,1183.7325
0.0,225.45961,0.0,1734.4811
278.0,228.69041,217.25,5927.756
0.0,196.3287,0.0,2196.4575
0.0,205.36877,0.0,14869.502
0.0,183.66684,0.0,2912.2488
696.0,261.43475,1289.3400000000001,12565.682
0.0,227.81306,0.0,409.60986
278.0,218.42116,217.25,1533.9513
0.0,227.03664,0.0,5955.027
0.0,195.85144,0.0,895.65924
0.0,204.17575,0.0,18265.29
0.0,178.84888,0.0,3397.828
0.0,271.66464,0.0,8718.732
278.0,236.57556,217.25,-1577.0663
0.0,218.75848,0.0,1977.9819
0.0,233.19478,0.0,8490.512
0.0,212.94092,0.0,259.97324
0.0,211.7113,0.0,22681.389
0.0,185.48785,0.0,5011.136
278.0,236.29489,217.25,4360.2256
0.0,207.94617,0.0,-316.17606
0.0,179.11327,0.0,2293.0254
0.0,206.1964,0.0,13119.968
0.0,194.94191,0.0,7720.759
0.0,184.93794,0.0,29372.572
278.0,168.72978,52895.22,15276.982
0.0,195.59253,0.0,3433.8867
0.0,174.90555,0.0,4795.744
0.0,145.47417,0.0,4365.4937
0.0,180.11017,0.0,17331.883
0.0,166.91577,0.0,17459.297
278.0,154.28508,52895.22,34795.543
278.0,151.10849,53934.2,25603.145
0.0,170.03766,0.0,4271.2847
0.0,161.47325,0.0,11211.736
0.0,129.30145,0.0,9821.82
0.0,169.32607,0.0,22394.379
278.0,154.5334,52895.22,25025.139
278.0,142.00728,53934.2,39304.215
0.0,149.91875,0.0,34130.83
0.0,152.6399,0.0,6960.117
0.0,157.94719,0.0,18742.664
0.0,124.53893,0.0,17179.803
278.0,167.63983,52895.22,27860.674
278.0,152.95525,53934.2,31605.818
0.0,140.03984,0.0,43053.41
278.0,155.28372,53821.95,41431.402
0.0,137.4834,0.0,12296.299
0.0,156.8255,0.0,27703.957
278.0,126.398766,52895.22,25575.38
278.0,168.83014,53934.2,33398.277
0.0,154.28809,0.0,38532.11
278.0,142.8345,53821.95,44932.805
139.0,161.43362,21419.07,47571.773
0.0,129.30293,0.0,18770.867
278.0,159.19998,52895.22,36975.27
278.0,135.72208,53934.2,34490.348
